time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-27T18:01:15.090Z,30.8057,57.2499,10,5,mb,,61,5.523,1.04,us,us1000bws4,2018-03-17T01:54:36.040Z,"60km NNE of Kerman, Iran",earthquake,7.4,1.9,0.041,187,reviewed,us,us
2017-12-25T05:25:38.270Z,31.2826,56.2676,10,4.6,mb,,82,5.905,0.66,us,us1000bvux,2018-03-17T01:54:34.040Z,"51km W of Ravar, Iran",earthquake,4.3,1.9,0.084,42,reviewed,us,us
2017-12-25T05:15:10.020Z,31.3402,56.1979,10,4.3,mb,,88,5.924,0.83,us,us1000bvuu,2018-03-17T01:54:34.040Z,"58km W of Ravar, Iran",earthquake,4.8,1.9,0.106,25,reviewed,us,us
2017-12-25T03:34:15.930Z,30.8107,57.32,10,4.4,mb,,105,5.474,0.81,us,us1000bvu0,2018-03-17T01:54:34.040Z,"62km NNE of Kerman, Iran",earthquake,4.9,1.9,0.099,29,reviewed,us,us
2017-12-23T22:58:14.490Z,28.1534,57.1581,10,4.5,mb,,52,3.307,0.62,us,us1000bvh9,2018-03-14T00:58:28.040Z,"111km N of Minab, Iran",earthquake,5.8,1.9,0.076,51,reviewed,us,us
2017-12-21T18:33:43.290Z,31.3653,56.1798,10,4.3,mb,,119,5.924,0.69,us,us1000bull,2018-03-14T00:58:25.040Z,"60km W of Ravar, Iran",earthquake,11.4,1.9,0.113,22,reviewed,us,us
2017-12-21T17:04:46.580Z,31.3839,56.2594,10,5.2,mww,,43,5.856,1.12,us,us1000buiv,2018-03-14T00:58:25.040Z,"53km WNW of Ravar, Iran",earthquake,6.9,1.8,0.065,23,reviewed,us,us
2017-12-19T13:02:32.880Z,30.8083,57.254,10,4.5,mb,,76,5.914,0.79,us,us1000bt1k,2018-03-14T00:58:22.040Z,"60km NNE of Kerman, Iran",earthquake,10.1,1.9,0.108,28,reviewed,us,us
2017-12-16T10:26:56.140Z,30.7189,57.1682,10,4.1,mb,,104,5.633,0.42,us,us1000bv0b,2018-03-06T00:49:44.040Z,"49km N of Kerman, Iran",earthquake,8.4,1.9,0.158,11,reviewed,us,us
2017-12-16T02:20:31.360Z,30.7735,57.2763,10,4.4,mb,,72,5.527,0.78,us,us2000c55u,2018-03-06T00:49:43.040Z,"57km NNE of Kerman, Iran",earthquake,8.3,1.9,0.084,41,reviewed,us,us
2017-12-13T09:51:56.810Z,30.7842,57.2052,10,4.3,mb,,72,5.566,0.67,us,us2000c3sh,2018-03-06T00:49:39.040Z,"56km NNE of Kerman, Iran",earthquake,6.4,1.9,0.085,39,reviewed,us,us
2017-12-13T04:03:15.680Z,30.774,57.2233,10,4.3,mb,,94,5.561,0.7,us,us2000c3qx,2018-03-06T00:49:39.040Z,"56km NNE of Kerman, Iran",earthquake,9.3,1.9,0.116,21,reviewed,us,us
2017-12-13T00:08:01.420Z,30.775,57.231,10,4.3,mb,,75,5.555,0.64,us,us2000c3p8,2018-03-06T00:49:38.040Z,"56km NNE of Kerman, Iran",earthquake,8.3,1.9,0.107,25,reviewed,us,us
2017-12-12T23:27:37.160Z,30.7658,57.2802,10,4.5,mb,,54,5.53,0.83,us,us2000c3nu,2018-03-06T00:49:38.040Z,"56km NNE of Kerman, Iran",earthquake,8,1.9,0.071,59,reviewed,us,us
2017-12-12T22:36:05.220Z,30.7772,57.2138,10,4.1,mb,,119,5.565,0.43,us,us1000bt5j,2018-03-06T00:49:38.040Z,"56km NNE of Kerman, Iran",earthquake,7.8,1.8,0.13,16,reviewed,us,us
2017-12-12T21:55:47.240Z,30.7875,57.2996,10,4.1,mb,,140,5.503,1.11,us,us1000bt5i,2018-03-06T00:49:38.040Z,"59km NNE of Kerman, Iran",earthquake,7.4,1.9,0.145,13,reviewed,us,us
2017-12-12T21:49:41.590Z,30.8681,57.2454,10,5,mb,,38,5.485,0.61,us,us2000c3ms,2018-03-06T00:49:38.040Z,"60km SE of Ravar, Iran",earthquake,8.4,1.9,0.071,63,reviewed,us,us
2017-12-12T21:46:41.440Z,30.796,57.2894,10,4.8,mb,,133,5.504,0.85,us,us1000bt5k,2018-03-06T00:49:38.040Z,"60km NNE of Kerman, Iran",earthquake,10.2,1.9,0.116,23,reviewed,us,us
2017-12-12T21:41:31.140Z,30.8275,57.2982,8,6,mww,,24,5.477,0.78,us,us2000c3mi,2018-03-06T00:49:38.040Z,"63km NNE of Kerman, Iran",earthquake,7.2,1.8,0.05,38,reviewed,us,us
2017-12-12T16:50:21.560Z,30.8132,57.3725,10,4.5,mb,,73,5.439,1,us,us2000c3er,2018-03-06T00:49:38.040Z,"65km NNE of Kerman, Iran",earthquake,8.2,1.9,0.083,42,reviewed,us,us
2017-12-12T13:22:39.280Z,30.6696,57.2864,10,4.4,mb,,114,5.591,0.47,us,us1000bt4z,2018-03-06T00:49:38.040Z,"47km NNE of Kerman, Iran",earthquake,6.4,1.9,0.155,12,reviewed,us,us
2017-12-12T09:50:29.690Z,30.6551,57.4472,10,4.4,mb,,121,5.5,1.06,us,us1000bt4r,2018-03-06T00:49:37.040Z,"54km NE of Kerman, Iran",earthquake,8.3,1.9,0.105,26,reviewed,us,us
2017-12-12T09:42:19.950Z,31.0501,57.2259,10,4.4,mb,,85,6.148,1.21,us,us2000c3b0,2018-03-06T00:49:37.040Z,"46km ESE of Ravar, Iran",earthquake,9.8,1.9,0.095,32,reviewed,us,us
2017-12-12T08:43:18.320Z,30.7372,57.2795,12,6,mww,,49,5.549,0.79,us,us2000c3ag,2018-03-06T00:49:37.040Z,"53km NNE of Kerman, Iran",earthquake,7.3,1.8,0.052,35,reviewed,us,us
2017-12-08T12:38:29.620Z,30.7512,57.2633,10,4.2,mb,,74,5.55,0.82,us,us2000c205,2018-02-28T02:32:33.040Z,"54km NNE of Kerman, Iran",earthquake,7,1.8,0.124,18,reviewed,us,us
2017-12-06T01:29:52.150Z,30.7074,57.2415,10,4.1,mb,,114,5.594,0.53,us,us2000c3uw,2018-02-28T02:32:28.040Z,"49km NNE of Kerman, Iran",earthquake,9.5,1.9,0.15,12,reviewed,us,us
2017-12-05T09:23:43.470Z,30.7157,57.279,8.44,4.3,mb,,61,0.686,0.97,us,us2000c3h7,2018-02-28T02:32:26.040Z,"51km NNE of Kerman, Iran",earthquake,3.1,5.1,0.099,29,reviewed,us,us
2017-12-03T02:47:26.630Z,30.7947,57.2935,10,4.3,mb,,76,5.502,1.04,us,us1000bkgh,2018-02-28T02:32:23.040Z,"60km NNE of Kerman, Iran",earthquake,9,1.9,0.104,26,reviewed,us,us
2017-12-02T10:47:04.040Z,30.7254,57.3614,10,5.2,mww,,38,5.505,0.66,us,us1000bk9a,2018-02-20T09:06:12.040Z,"56km NNE of Kerman, Iran",earthquake,7.4,1.8,0.086,13,reviewed,us,us
2017-12-01T23:23:15.960Z,30.6818,57.4003,10,4.4,mb,,51,5.511,0.87,us,us1000bk5v,2018-02-20T09:06:11.040Z,"53km NE of Kerman, Iran",earthquake,6.5,1.9,0.086,39,reviewed,us,us
2017-12-01T07:29:35.020Z,30.7025,57.3126,10,4.2,mb,,105,5.552,0.76,us,us1000bjs9,2018-02-20T09:06:10.040Z,"51km NNE of Kerman, Iran",earthquake,9.3,1.9,0.136,15,reviewed,us,us
2017-12-01T03:35:01.840Z,30.7151,57.385,10,5.4,mww,,46,5.498,0.82,us,us1000bjq8,2018-02-20T09:06:10.040Z,"56km NNE of Kerman, Iran",earthquake,7.4,1.8,0.075,17,reviewed,us,us
