date,time,latitude,longitude,depth,mag
2013/07/31,10:09:05 PM,26.76,57.72,14.1,4
2013/07/18,4:55:27 AM,26.792,57.884,14.9,4
2013/07/17,11:55:29 AM,26.741,57.939,17.3,4.2
2013/07/13,12:52:59 AM,27.368,55.172,14.1,4.3
2013/07/09,5:05:12 PM,28.168,55.993,10,4
2013/07/03,12:05:48 PM,27.247,55.003,14.9,4.4
2013/07/02,11:18:33 AM,27.28,55.02,12,5
2013/07/02,1:33:43 AM,28.289,57.608,30.8,4.3
2013/07/01,7:03:55 PM,28.208,57.429,10,4.2
2013/06/30,4:25:32 PM,26.609,57.924,10,4.3
2013/06/19,8:05:24 PM,26.522,57.487,25.6,4
2013/06/19,4:26:58 PM,27.012,59.991,10.5,4.2
2013/06/05,5:34:39 AM,26.702,57.955,7,4.2
2013/05/31,5:20:02 AM,26.62,57.66,14.1,4.6
2013/05/30,7:15:29 PM,26.725,57.882,6.2,4.2
2013/05/30,5:18:27 PM,26.69,57.775,15.9,4
2013/05/21,11:38:46 PM,26.737,57.884,6.2,4.6
2013/05/20,8:33:45 PM,26.714,57.74,11.9,4.1
2013/05/20,9:16:30 AM,26.539,57.706,24.2,4.6
2013/05/20,7:02:27 AM,26.7,57.46,15,4.6
2013/05/18,3:10:40 PM,26.77,57.87,6,4.2
2013/05/18,12:09:44 PM,26.73,57.87,15,4.5
2013/05/18,10:57:47 AM,26.502,57.712,15,5.4
2013/05/18,10:03:16 AM,26.606,57.785,15,5.5
2013/05/17,2:45:20 PM,26.52,57.48,22,4.4
2013/05/15,6:51:17 PM,26.591,58.076,10,4
2013/05/15,4:09:03 PM,26.72,57.78,15,4.5
2013/05/14,1:43:01 PM,26.529,57.431,10,4
2013/05/14,10:02:38 AM,26.56,57.817,15,4.2
2013/05/13,5:44:25 AM,26.5,57.75,11,4
2013/05/13,1:43:00 AM,26.487,57.857,10,4.2
2013/05/12,10:15:34 PM,26.482,57.614,14.1,4.1
2013/05/12,8:18:32 PM,26.48,57.7,13,4.4
2013/05/12,6:12:01 PM,26.29,57.68,20,4.1
2013/05/12,5:50:36 PM,26.49,57.61,25,4.4
2013/05/12,12:48:07 PM,26.619,57.551,25.8,4.4
2013/05/12,11:56:31 AM,26.529,57.71,9.9,4.1
2013/05/12,11:00:14 AM,26.604,57.613,19.3,4.7
2013/05/12,10:54:49 AM,26.716,57.765,14,5.5
2013/05/12,9:02:20 AM,26.47,57.67,15,4.5
2013/05/12,6:13:14 AM,26.6,57.92,8,4.1
2013/05/12,4:23:03 AM,26.573,57.695,20.4,4.4
2013/05/12,2:50:05 AM,26.835,57.649,28,4.4
2013/05/12,1:57:22 AM,26.55,57.779,17.7,4.1
2013/05/12,1:08:21 AM,26.563,57.781,10,4.5
2013/05/12,1:06:24 AM,26.6,57.724,15.4,4.4
2013/05/12,12:24:56 AM,26.581,57.483,14.6,4.2
2013/05/12,12:07:00 AM,26.404,57.522,17.6,5.5
2013/05/11,10:28:08 PM,26.691,57.465,14.3,4.5
2013/05/11,10:25:21 PM,26.47,57.68,12,4.4
2013/05/11,10:23:06 PM,26.749,57.581,14.2,4.9
2013/05/11,9:51:31 PM,26.72,57.619,14.1,4.9
2013/05/11,6:06:14 PM,26.599,57.932,25,4.7
2013/05/11,2:23:17 PM,26.56,57.72,25,4.3
2013/05/11,10:25:34 AM,26.789,57.57,14.2,4.3
2013/05/11,10:03:05 AM,26.788,57.641,14.1,4.6
2013/05/11,8:42:34 AM,26.52,57.67,15,5
2013/05/11,8:38:27 AM,26.57,57.7,15,4.1
2013/05/11,7:58:38 AM,26.442,57.785,15.2,4.2
2013/05/11,5:59:35 AM,26.606,57.914,15.5,4.3
2013/05/11,5:45:29 AM,26.52,57.57,14.1,4.2
2013/05/11,5:34:15 AM,26.649,57.755,11.3,4.4
2013/05/11,5:21:29 AM,26.683,57.666,20.7,4
2013/05/11,4:53:35 AM,26.607,57.794,17.4,4.2
2013/05/11,4:11:36 AM,26.57,57.501,10,4.2
2013/05/11,4:09:27 AM,26.531,57.89,10,4.7
2013/05/11,3:58:15 AM,26.691,57.683,19.6,4.3
2013/05/11,3:41:27 AM,26.53,57.94,10,5.1
2013/05/11,3:17:22 AM,26.656,57.723,8.3,4.7
2013/05/11,3:09:47 AM,26.548,57.926,8.9,5.5
2013/05/11,3:03:27 AM,26.682,57.897,16.1,4.8
2013/05/11,2:50:00 AM,26.59,57.925,12.9,4.6
2013/05/11,2:49:34 AM,26.616,57.566,27.2,4
2013/05/11,2:45:48 AM,26.673,57.66,22.6,4.1
2013/05/11,2:32:45 AM,26.672,57.691,23.4,4.5
2013/05/11,2:29:37 AM,26.663,57.889,10.7,4.6
2013/05/11,2:08:08 AM,26.56,57.77,15,6.1
2013/05/09,8:50:34 AM,26.651,57.607,24.1,4.1
2013/05/09,8:01:34 AM,26.727,57.685,22.5,4.9
2013/04/25,7:48:57 AM,28.002,56.993,6.6,4.1
2013/04/24,3:51:14 AM,27.902,55,36,4
2013/03/08,9:38:50 PM,28.402,57.966,105,4.4
2013/03/04,2:29:53 PM,27.42,56.61,15,4.1
2013/02/22,1:39:24 AM,29.66,57.06,16,4.1
2013/02/07,1:42:09 PM,27.515,56.309,7.1,4.3
2013/02/03,5:46:58 PM,27.68,56.5,20,4.6
2013/01/24,9:28:30 AM,27.794,56.4,10,4.2
2013/01/24,4:51:07 AM,27.86,56.557,17.6,4.6
2013/01/21,7:48:59 PM,30.33,57.467,10,5.5
2013/01/07,12:41:57 AM,26.841,56.16,10,4.3
2013/01/06,3:24:14 PM,29.965,57.617,10,4.1
2012/12/18,2:53:50 AM,28.39,56.96,5,4.5
2012/12/14,10:10:27 AM,28.387,57.53,14.2,4.1
2012/12/09,12:14:06 AM,27.91,56.9,14,4.3
2012/12/05,5:08:14 PM,33.506,59.571,14.4,5.8
2012/12/03,12:53:23 PM,30.523,57.227,5,4.6
2012/10/27,8:54:59 PM,29.371,56.874,98,4.5
2012/10/21,4:38:19 PM,27.538,59.431,10,4.8
2012/09/21,3:28:30 AM,32.14,58.48,6,4.6
2012/09/03,3:03:42 AM,28.01,57.76,14.1,4.4
2012/09/02,12:50:00 AM,33.474,59.897,12,5.1
2012/08/09,11:45:00 PM,33.492,59.423,10,4.1
2012/07/12,11:49:28 PM,27.016,59.33,10,4.1
2012/07/12,11:33:58 PM,26.951,59.426,10,4.5
2012/07/12,9:18:27 PM,27.02,55.02,10,4.5
2012/06/04,3:58:09 AM,28.24,57.03,29,4
2012/05/14,10:12:32 AM,27.955,57.722,2,5.1
