date,latitude,longitude,depth,mag
2014/07/05 3:11:48,28.35,55.06,14,4.7
2014/07/03 4:20:01,26.857,55.338,9,4.1
2014/06/30 3:48:46,32.183,58.978,9.5,4.2
2014/06/28 18:45:40,32.0932,58.9991,10.27,4.4
2014/06/18 0:29:42,29.038,58.332,19.1,3.7
2014/06/11 6:06:34,28.427,57.044,8,3.9
2014/06/02 22:51:16,27.76,57.22,14,4.9
2014/05/27 5:44:30,26.543,55.905,14.3,5.1
2014/05/12 16:42:24,28.2929,58.183,10,4.1
2014/05/09 6:17:25,27.92,57.47,14.1,4.2
2014/05/09 0:08:45,27.903,57.52,20,4.6
2014/04/05 12:16:31,30.921,56.597,14,4.1
2014/04/01 6:40:19,28.295,57.82,10,4.2
2014/04/01 6:37:20,28.1307,57.7307,10,4.4
2014/03/16 14:34:40,28.1882,57.6362,10,4.5
2014/03/12 20:21:59,28.336,57.069,10,4.3
2014/02/26 8:08:05,27.645,58.147,36,3.9
2014/02/22 17:29:10,28.176,56.898,15,4.3
2014/02/07 19:43:31,26.5274,57.6187,10.02,4.2
2014/02/03 19:00:29,26.722,57.78,12.2,4.3
2014/02/02 18:15:45,28.28,57.09,16,4.3
2014/02/02 14:46:42,26.4447,57.3909,10,4
2014/02/02 14:46:11,26.5921,57.5129,10,4
2014/02/02 14:26:46,26.5886,57.7412,10,5.3
2013/12/26 0:44:27,30.3,57.47,18,3.8
2013/11/27 7:25:43,26.8555,56.936,10.72,4.5
2013/11/20 8:20:21,27.406,56.167,17.3,4.3
2013/11/07 23:38:52,26.55,57.5,12,4.1
2013/10/08 2:52:08,27.195,55.92,10,4.8
2013/10/04 18:17:29,32.9945,58.9102,19.33,4.8
2013/09/26 1:16:23,31.111,59.6699,10.29,4.3
2013/09/25 16:18:37,27.74,57.57,21,4.5
2013/09/21 6:27:46,28.47,57.15,12,4.1
2013/09/17 16:19:41,26.5581,55.7239,10,4.2
2013/08/27 22:00:42,32.758,56.499,8,4.7
2013/08/25 13:56:33,30.5909,57.0748,10,4.3
2013/08/15 20:08:41,32.904,56.241,7.7,4.1
2013/08/10 12:08:00,33.8,56.67,11,4.4
2013/07/31 22:09:05,26.76,57.72,14.1,4
2013/07/18 4:55:27,26.792,57.884,14.9,4
2013/07/17 11:55:29,26.741,57.939,17.3,4.2
2013/07/13 0:52:59,27.368,55.172,14.1,4.3
2013/07/09 17:05:12,28.168,55.993,10,4
2013/07/03 12:05:48,27.247,55.003,14.9,4.4
2013/07/02 11:18:33,27.28,55.02,12,5
2013/07/02 1:33:43,28.289,57.608,30.8,4.3
2013/07/01 19:03:55,28.208,57.429,10,4.2
2013/06/30 16:25:32,26.609,57.924,10,4.3
2013/06/19 20:05:24,26.522,57.487,25.6,4
2013/06/19 16:26:58,27.012,59.991,10.5,4.2
2013/06/05 5:34:39,26.702,57.955,7,4.2
2013/05/31 5:20:02,26.62,57.66,14.1,4.6
2013/05/30 19:15:29,26.725,57.882,6.2,4.2
2013/05/30 17:18:27,26.69,57.775,15.9,4
2013/05/21 23:38:46,26.737,57.884,6.2,4.6
2013/05/20 20:33:45,26.714,57.74,11.9,4.1
2013/05/20 9:16:30,26.539,57.706,24.2,4.6
2013/05/20 7:02:27,26.7,57.46,15,4.6
2013/05/18 15:10:40,26.77,57.87,6,4.2
2013/05/18 12:09:44,26.73,57.87,15,4.5
2013/05/18 10:57:47,26.502,57.712,15,5.4
2013/05/18 10:03:16,26.606,57.785,15,5.5
2013/05/17 14:45:20,26.52,57.48,22,4.4
2013/05/15 18:51:17,26.591,58.076,10,4
2013/05/15 16:09:03,26.72,57.78,15,4.5
2013/05/14 13:43:01,26.529,57.431,10,4
2013/05/14 10:02:38,26.56,57.817,15,4.2
2013/05/13 5:44:25,26.5,57.75,11,4
2013/05/13 1:43:00,26.487,57.857,10,4.2
2013/05/12 22:15:34,26.482,57.614,14.1,4.1
2013/05/12 20:18:32,26.48,57.7,13,4.4
2013/05/12 18:12:01,26.29,57.68,20,4.1
2013/05/12 17:50:36,26.49,57.61,25,4.4
2013/05/12 12:48:07,26.619,57.551,25.8,4.4
2013/05/12 11:56:31,26.529,57.71,9.9,4.1
2013/05/12 11:00:14,26.604,57.613,19.3,4.7
2013/05/12 10:54:49,26.716,57.765,14,5.5
2013/05/12 9:02:20,26.47,57.67,15,4.5
2013/05/12 6:13:14,26.6,57.92,8,4.1
2013/05/12 4:23:03,26.573,57.695,20.4,4.4
2013/05/12 2:50:05,26.835,57.649,28,4.4
2013/05/12 1:57:22,26.55,57.779,17.7,4.1
2013/05/12 1:08:21,26.563,57.781,10,4.5
2013/05/12 1:06:23,26.6,57.724,15.4,4.4
2013/05/12 0:24:56,26.581,57.483,14.6,4.2
2013/05/12 0:07:00,26.404,57.522,17.6,5.5
2013/05/11 22:28:08,26.691,57.465,14.3,4.5
2013/05/11 22:25:21,26.47,57.68,12,4.4
2013/05/11 22:23:06,26.749,57.581,14.2,4.9
2013/05/11 21:51:31,26.72,57.619,14.1,4.9
2013/05/11 18:06:14,26.599,57.932,25,4.7
2013/05/11 14:23:17,26.56,57.72,25,4.3
2013/05/11 10:25:34,26.789,57.57,14.2,4.3
2013/05/11 10:03:05,26.788,57.641,14.1,4.6
2013/05/11 8:42:34,26.52,57.67,15,5
2013/05/11 8:38:27,26.57,57.7,15,4.1
2013/05/11 7:58:38,26.442,57.785,15.2,4.2
2013/05/11 5:59:35,26.606,57.914,15.5,4.3
2013/05/11 5:45:29,26.52,57.57,14.1,4.2
2013/05/11 5:34:14,26.649,57.755,11.3,4.4
2013/05/11 5:21:29,26.683,57.666,20.7,4
2013/05/11 4:53:35,26.607,57.794,17.4,4.2
2013/05/11 4:11:36,26.57,57.501,10,4.2
2013/05/11 4:09:27,26.531,57.89,10,4.7
2013/05/11 3:58:15,26.691,57.683,19.6,4.3
2013/05/11 3:41:27,26.53,57.94,10,5.1
2013/05/11 3:17:21,26.656,57.723,8.3,4.7
2013/05/11 3:09:47,26.548,57.926,8.9,5.5
2013/05/11 3:03:27,26.682,57.897,16.1,4.8
2013/05/11 2:50:00,26.59,57.925,12.9,4.6
2013/05/11 2:49:34,26.616,57.566,27.2,4
2013/05/11 2:45:48,26.673,57.66,22.6,4.1
2013/05/11 2:32:45,26.672,57.691,23.4,4.5
2013/05/11 2:29:37,26.663,57.889,10.7,4.6
2013/05/11 2:08:09,26.56,57.77,15,6.1
2013/05/09 8:50:34,26.651,57.607,24.1,4.1
2013/05/09 8:01:33,26.727,57.685,22.5,4.9
2013/04/25 7:48:57,28.002,56.993,6.6,4.1
2013/04/24 3:51:14,27.902,55,36,4
2013/03/08 21:38:50,28.402,57.966,105,4.4
2013/03/04 14:29:53,27.42,56.61,15,4.1
2013/02/22 1:39:24,29.66,57.06,16,4.1
2013/02/07 13:42:09,27.515,56.309,7.1,4.3
2013/02/03 17:46:58,27.68,56.5,20,4.6
2013/01/24 9:28:30,27.794,56.4,10,4.2
2013/01/24 4:51:07,27.86,56.557,17.6,4.6
2013/01/21 19:48:59,30.33,57.467,10,5.5
2013/01/07 0:41:57,26.841,56.16,10,4.3
2013/01/06 15:24:14,29.965,57.617,10,4.1
2012/12/18 2:53:50,28.39,56.96,5,4.5
2012/12/14 10:10:27,28.387,57.53,14.2,4.1
2012/12/09 0:14:06,27.91,56.9,14,4.3
2012/12/05 17:08:14,33.506,59.571,14.4,5.8
